run_id,label,algorithm,fitness_version,total_tasks,total_clusterizations,valid_clusterizations,best_fitness_score,average_fitness_score,output_json,output_csv
20260628_123106,june_suite,dbscan,business_v1,10,111,111,59.69164832687488,90.25681975020487,data\runs\20260628_123106\dbscan\master_clusterizations.json,data\runs\20260628_123106\dbscan\master_clusterizations.csv
20260628_123106,june_suite,sweep,business_v1,10,271,21,54.14494314952519,24127.45517973104,data\runs\20260628_123106\sweep\master_clusterizations.json,data\runs\20260628_123106\sweep\master_clusterizations.csv
20260628_123106,june_suite,clarke_wright,business_v1,10,10,3,60.03589858983953,575.5539445071678,data\runs\20260628_123106\clarke_wright\master_clusterizations.json,data\runs\20260628_123106\clarke_wright\master_clusterizations.csv
20260628_123106,june_suite,destroy_repair,business_v1,10,2,2,95.36057855670603,95.85131009934926,data\runs\20260628_123106\destroy_repair\master_clusterizations.json,data\runs\20260628_123106\destroy_repair\master_clusterizations.csv
20260628_123106,june_suite,random,business_v1,10,451,1,87.94330408709693,36999.10978455029,data\runs\20260628_123106\random\master_clusterizations.json,data\runs\20260628_123106\random\master_clusterizations.csv
