run_id,label,algorithm,fitness_version,total_tasks,total_clusterizations,valid_clusterizations,best_fitness_score,average_fitness_score,output_json,output_csv
20260707_205424,report_old_evolutionary,dbscan,business_v1,10,8700,8700,53.312080150334204,83.9599430573553,data\runs_reports\20260707_205424\dbscan\master_clusterizations.json,data\runs_reports\20260707_205424\dbscan\master_clusterizations.csv
20260707_205424,report_old_evolutionary,sweep,business_v1,10,8352,8352,49.83782595816976,85.62187739134296,data\runs_reports\20260707_205424\sweep\master_clusterizations.json,data\runs_reports\20260707_205424\sweep\master_clusterizations.csv
20260707_205424,report_old_evolutionary,clarke_wright,business_v1,10,8799,8799,49.06111313854707,85.36169549753076,data\runs_reports\20260707_205424\clarke_wright\master_clusterizations.json,data\runs_reports\20260707_205424\clarke_wright\master_clusterizations.csv
20260707_205424,report_old_evolutionary,destroy_repair,business_v1,10,14685,14685,55.08520912690702,94.86155844286134,data\runs_reports\20260707_205424\destroy_repair\master_clusterizations.json,data\runs_reports\20260707_205424\destroy_repair\master_clusterizations.csv
20260707_205424,report_old_evolutionary,random,business_v1,10,13404,13404,54.35990940315722,97.27711876298,data\runs_reports\20260707_205424\random\master_clusterizations.json,data\runs_reports\20260707_205424\random\master_clusterizations.csv
